,,,,,,,,,水質,,,,,,,,,,,,地質,,,,,底質汙染物,,,,,,,,藻礁生態系,,,,,,,,,,,,,,,
年,月,日,季節,樣點,"測線
編號","測站
名稱",潮位,時間 (hh:mm),Temp. (℃),"Sal. 
(‰)",pH,DO (mg/L),"DO 
(%)",Turb. (NTU),"亞硝酸鹽氮
NO2
(mg/L)","硝酸鹽氮
NO3
(mg/L)","氨氮
NH3
(mg/L)","正磷酸鹽
PO43-
(mg/L)","懸浮
固體
SS(mg/L)","光遞減
K值","淤積深度
(cm)",沙泥面積百分比(%),礫石面積百分比(%),礁體面積百分比(%),水面積百分比(%),"汞
(mg/kg)","鎘
(mg/kg)","鉻
(mg/kg)","銅
(mg/kg)","鎳
(mg/kg)","鉛
(mg/kg)","鋅
(mg/kg)","砷
(mg/kg)",造礁珊瑚藻覆蓋率（%）,非造礁珊瑚藻覆蓋率（%）,底表軟體動物(ind./m2),底表節肢動物(ind./m2),底表棘皮動物(ind./m2),底內多毛動物(ind./m3),底內軟體動物 二枚貝(ind./m3),底內軟體動物 螺(ind./m3),底內節肢動物(ind./m3),底內刺絲胞動物(ind./m3),底內棘皮動物(ind./m3),底內扁行動物(ind./m3),底內紐形動物(ind./m3),底內星蟲動物(ind./m3),底內軟體動物(ind./m3),魚類個體數
year,month,day,season,sample,sample-line-code,sample-station,tide,time,temp,sal,pH,DO-absolute,DO-relative,turb,NO2,NO3,NH3,PO43-,SS,K,silt-depth,sand-area,pebble-area,reef-area,water-area,Hg,Cd,Cr,Cu,Ni,Pb,Zn,As,hermatypic-coral,ahermatypic-coral,epifauna-mollusk,epifauna-arthropod,epifauna-echinoderm,infauna-polychaeta,infauna-bivalves,infauna-snail,infauna-arthropod,infauna-cinidarian,infauna-echinoderm,infauna-platyhelminthe,infauana-nemertea,infauna-sipuncula,infauna-mollusk,fish
2019,3,26,SP,BY,1,BY1-H,H,8:37,19.9 ,31.1 ,8.12 ,7.95 ,87.1 ,1.95 ,0.01,0.20,0.17,0.198,15.9,,沙地,25.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,26,SP,BY,1,BY1-M,M,8:30,19.6 ,32.0 ,8.11 ,9.39 ,102.4 ,38.00 ,0.04,0.55,0.14,0.336,81.4,,1.583333333,1.333,0.167,23.500,9.167,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,26,SP,BY,1,BY1-L,L,8:21,19.9 ,32.3 ,8.18 ,10.36 ,113.9 ,45.70 ,0.03,0.57,0.08,0.282,106.0,,0.1333333333,0.333,0.000,24.667,3.667,0.049,0.19,19.8,23.4,23.2,13.6,94.8,8.66,,,,,,,,,,,,,,,,
2019,3,26,SP,BY,2,BY2-H,H,9:30,20.2 ,32.9 ,8.55 ,11.23 ,124.1 ,4.77 ,0.03,0.38,0.06,0.184,31.0,,2.566666667,5.167,1.500,18.333,8.167,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,26,SP,BY,2,BY2-M,M,9:21,20.1 ,32.7 ,8.73 ,12.00 ,132.3 ,4.26 ,0.02,0.35,0.05,0.174,15.0,,2.616666667,4.500,2.000,18.500,7.333,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,26,SP,BY,2,BY2-L,L,9:03,19.8 ,32.1 ,8.42 ,9.82 ,107.6 ,19.40 ,0.02,0.46,0.04,0.213,39.9,,4.016666667,3.500,0.667,20.833,6.000,0.049,0.19,19.6,24.9,24.3,13.8,101,9.23,,,,,,,,,,,,,,,,
2019,3,26,SP,BY,3,BY3-H,H,7:45,19.2 ,32.1 ,8.16 ,10.35 ,112.1 ,4.89 ,0.02,0.48,0.07,0.134,37.0,,沙地,25.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,26,SP,BY,3,BY3-M,M,7:37,19.4 ,32.2 ,8.11 ,9.99 ,108.5 ,22.60 ,0.04,0.45,0.14,0.321,52.5,,2.816666667,5.333,0.067,19.600,5.500,,,,,,,,,,,,,,,,,,,,,,,,
